locality,unified_locality
woluwe-saint-lambert,woluwe-saint-lambert
hamme,hamme
assebroek,assebroek
gent wondelgem,gent wondelgem
turnhout,turnhout
berchem,merchtem
middelkerke,middelkerke
deurne (),deurne
ninove,ninove
gent,gent
sint-katelijne-waver,sint-katelijne-waver
uccle,uccle
jette,jette
brugge,brugge
sint-gillis-waas,sint-gillis-waas
oostende,oostende
gentbrugge,gentbrugge
bruxelles,bruxelles
ixelles,ixelles
ixelles,ixelles
knokke-heist,knokke-heist
assebroek,assebroek
olen,olen
zoersel,zoersel
beerse,beerse
malle,malle
brussels,brussel
berchem-sainte-agathe,berchem-sainte-agathe
sint-eloois-winkel,sint-eloois-winkel
alveringem,alveringem
ekeren,ekeren
lierde,lierde
ekeren,ekeren
oostkamp,oostkamp
molenbeek-saint-jean,molenbeek-saint-jean
anderlecht,anderlecht
woluwe-saint-pierre,woluwe-saint-pierre
hamme (),hamme
oostende,oostende
zwijndrecht,zwijndrecht
turnhout,turnhout
jette,jette
scherpenheuvel,scherpenheuvel-zichem
lichtaart,lichtaart
lummen,lummen
geel,geel
antwerpen,antwerpen
de klinge,de klinge
lichtaart,lichtaart
haasdonk,haasdonk
zoersel,zoersel
antwerpen,antwerpen
ixelles,ixelles
denderleeuw,denderleeuw
héron,héron
woluwe-saint-lambert,woluwe-saint-lambert
kortrijk,kortrijk
lede,lede
koksijde,koksijde
antwerpen,antwerpen
anderlecht,anderlecht
wavre,wavre
wavre,wavre
alveringem,alveringem
charleroi,charleroi
kasterlee,kasterlee
hulste,hulste
lokeren,lokeren
heist-op-den-berg wiekevorst,heist-op-den-berg wiekevorst
uccle,uccle
etterbeek,etterbeek
flémalle,flémalle
turnhout,turnhout
oud-turnhout,oud-turnhout
turnhout,turnhout
edegem,edegem
antwerpen ,antwerpen
wortegem,waregem
antwerpen,antwerpen
watermael-boitsfort,watermael-boitsfort
tielt,tielt
veerle,veerle
herentals,herentals
hove,hove
sint-katelijne-waver,sint-katelijne-waver
sint-niklaas,sint-niklaas
welkenraedt,welkenraedt
anderlecht,anderlecht
gent,gent
gent,gent
scherpenheuvel-zichem,scherpenheuvel-zichem
mol,mol
ninove,ninove
kerksken,kerksken
gent,gent
turnhout,turnhout
hasselt,hasselt
seraing,seraing
zwalm,zwalm
sint-truiden,sint-truiden
antwerpen-zuid,antwerpen-zuid
bruxelles,bruxelles
hasselt,hasselt
waterloo,waterloo
gavere,gavere
kraainem,kraainem
borgerhout,borgerhout
ixelles,ixelles
antwerpen,antwerpen
boekhoute,boechout
sleidinge,sleidinge
itegem,ichtegem
berchem,merchtem
brasschaat,brasschaat
herent,herent
erpe,erpe
ninove,ninove
sijsele,sijsele
